dag_id,task_count,topology_family,weight_type,allocation,phase_profile,P,wall_time_seconds,outcome_recorded
exp08_development_n16_chain_like_lognormal_07,16,chain_like,lognormal,low,io,8,0.000486792,false
exp08_development_n16_chain_like_lognormal_07,16,chain_like,lognormal,high,io,8,0.000451375,false
exp08_development_n16_chain_like_lognormal_08,16,chain_like,lognormal,low,io,8,0.000452667,false
exp08_development_n16_chain_like_lognormal_08,16,chain_like,lognormal,high,io,8,0.000462458,false
exp08_development_n16_chain_like_lognormal_09,16,chain_like,lognormal,low,io,8,0.000450542,false
exp08_development_n16_chain_like_lognormal_09,16,chain_like,lognormal,high,io,8,0.000448958,false
exp08_development_n32_wide_layered_homogeneous_00,32,wide_layered,homogeneous,low,io,8,0.001089666,false
exp08_development_n32_wide_layered_homogeneous_00,32,wide_layered,homogeneous,high,io,8,0.001093000,false
exp08_development_n32_wide_layered_homogeneous_01,32,wide_layered,homogeneous,low,io,8,0.001079500,false
exp08_development_n32_wide_layered_homogeneous_01,32,wide_layered,homogeneous,high,io,8,0.001084625,false
exp08_development_n32_wide_layered_homogeneous_02,32,wide_layered,homogeneous,low,io,8,0.001041250,false
exp08_development_n32_wide_layered_homogeneous_02,32,wide_layered,homogeneous,high,io,8,0.001083958,false
exp08_development_n32_wide_layered_homogeneous_03,32,wide_layered,homogeneous,low,io,8,0.001252625,false
exp08_development_n32_wide_layered_homogeneous_03,32,wide_layered,homogeneous,high,io,8,0.001184208,false
exp08_development_n32_wide_layered_homogeneous_04,32,wide_layered,homogeneous,low,io,8,0.001099417,false
exp08_development_n32_wide_layered_homogeneous_04,32,wide_layered,homogeneous,high,io,8,0.001108042,false
exp08_development_n32_wide_layered_homogeneous_05,32,wide_layered,homogeneous,low,io,8,0.001086166,false
exp08_development_n32_wide_layered_homogeneous_05,32,wide_layered,homogeneous,high,io,8,0.001098166,false
exp08_development_n32_wide_layered_homogeneous_06,32,wide_layered,homogeneous,low,io,8,0.001190125,false
exp08_development_n32_wide_layered_homogeneous_06,32,wide_layered,homogeneous,high,io,8,0.001073458,false
exp08_development_n32_wide_layered_homogeneous_07,32,wide_layered,homogeneous,low,io,8,0.001101542,false
exp08_development_n32_wide_layered_homogeneous_07,32,wide_layered,homogeneous,high,io,8,0.001094167,false
exp08_development_n32_wide_layered_homogeneous_08,32,wide_layered,homogeneous,low,io,8,0.001061750,false
exp08_development_n32_wide_layered_homogeneous_08,32,wide_layered,homogeneous,high,io,8,0.001100292,false
exp08_development_n32_wide_layered_homogeneous_09,32,wide_layered,homogeneous,low,io,8,0.001041542,false
exp08_development_n32_wide_layered_homogeneous_09,32,wide_layered,homogeneous,high,io,8,0.001251958,false
exp08_development_n32_wide_layered_lognormal_00,32,wide_layered,lognormal,low,io,8,0.001158708,false
exp08_development_n32_wide_layered_lognormal_00,32,wide_layered,lognormal,high,io,8,0.001204917,false
exp08_development_n32_wide_layered_lognormal_01,32,wide_layered,lognormal,low,io,8,0.001152459,false
exp08_development_n32_wide_layered_lognormal_01,32,wide_layered,lognormal,high,io,8,0.001114542,false
exp08_development_n32_wide_layered_lognormal_02,32,wide_layered,lognormal,low,io,8,0.001078584,false
exp08_development_n32_wide_layered_lognormal_02,32,wide_layered,lognormal,high,io,8,0.001247792,false
exp08_development_n32_wide_layered_lognormal_03,32,wide_layered,lognormal,low,io,8,0.001174750,false
exp08_development_n32_wide_layered_lognormal_03,32,wide_layered,lognormal,high,io,8,0.001187666,false
exp08_development_n32_wide_layered_lognormal_04,32,wide_layered,lognormal,low,io,8,0.001126958,false
exp08_development_n32_wide_layered_lognormal_04,32,wide_layered,lognormal,high,io,8,0.001115291,false
exp08_development_n32_wide_layered_lognormal_05,32,wide_layered,lognormal,low,io,8,0.001098541,false
exp08_development_n32_wide_layered_lognormal_05,32,wide_layered,lognormal,high,io,8,0.001235708,false
exp08_development_n32_wide_layered_lognormal_06,32,wide_layered,lognormal,low,io,8,0.001091000,false
exp08_development_n32_wide_layered_lognormal_06,32,wide_layered,lognormal,high,io,8,0.001079416,false
exp08_development_n32_wide_layered_lognormal_07,32,wide_layered,lognormal,low,io,8,0.001094000,false
exp08_development_n32_wide_layered_lognormal_07,32,wide_layered,lognormal,high,io,8,0.001087125,false
exp08_development_n32_wide_layered_lognormal_08,32,wide_layered,lognormal,low,io,8,0.001120667,false
exp08_development_n32_wide_layered_lognormal_08,32,wide_layered,lognormal,high,io,8,0.001268417,false
exp08_development_n32_wide_layered_lognormal_09,32,wide_layered,lognormal,low,io,8,0.001138625,false
exp08_development_n32_wide_layered_lognormal_09,32,wide_layered,lognormal,high,io,8,0.001109625,false
exp08_development_n32_mixed_homogeneous_00,32,mixed,homogeneous,low,io,8,0.001056458,false
exp08_development_n32_mixed_homogeneous_00,32,mixed,homogeneous,high,io,8,0.001053792,false
exp08_development_n32_mixed_homogeneous_01,32,mixed,homogeneous,low,io,8,0.001126875,false
